Title,Author,Nationality,Sex,Job,Publisher,Original_year_published,Genre,Sub_genre,Language,Number_pages,Date_started,Date_finished,Days,Pages_per_day
In Cold Blood ,"Capote, Truman",,,,Penguin Books Ltd,1965,Fiction,True_crime,English,352,2/6/2017,2/8/2017,2,176.0
High-rise,"Ballard, J. G.",,,,Flamingo,1975,Fiction,Dystopia,English,173,1/5/2018,1/6/2018,1,173.0
War with the Newts,"Capek, Karel",,,,Penguin,1936,Fiction,Sci_fi,English,348,6/9/2017,6/13/2017,4,87.0
Eichmann in Jerusalem,"Arendt, Hannah",,,,Penguin Adult,1963,Non-fiction,History,English,312,4/10/2018,4/22/2018,12,26.0
The Twelve Chairs,"Ilf, Ilya",,,,Northwestern University Press,1928,Fiction,Adventure,English,546,4/27/2018,5/6/2018,9,60.7
All the King's Men,"Warren, Robert Penn",,,,Penguin,1946,Fiction,Politics,English,661,1/16/2016,2/4/2016,19,34.8
Death and the Penguin,"Kurkov, Andrey",,,,Harvill Press,1996,Fiction,Mystery,English,227,3/4/2018,3/6/2018,2,113.5
Who Moved My Cheese?,"Johnson, Spencer",,,,Vermilion,1998,Non-fiction,Self_help,English,94,1/21/2018,1/21/2018,0,#DIV/0!
The art of the deal,"Trump, Donald",,,,Ballantine Books,1987,Non-fiction,Biography,English,372,2/1/2017,2/2/2017,1,372.0
The master and Margarita,"Bulgakov, Mikhail",,,,"Penguin Books,",1967,Fiction,Comedy,English,412,2/2/2017,2/5/2017,3,137.3
Fall of Giants,"Follett, Ken",,,,Macmillan,2010,Fiction,History,English,941,5/28/2017,6/8/2017,11,85.5
The Road to Somewhere,"Goodhart, David",,,,"Penguin Books, Limited",2017,Non-fiction,Politics,English,304,1/6/2018,1/20/2018,14,21.7
V,"Pynchon, Thomas",,,,Vintage,1963,Fiction,Drama,English,492,1/27/2018,2/17/2018,21,23.4
The Heart is a Lonely Hunter,"McCullers, Carson",,,,Penguin Books,1949,Fiction,Drama,English,311,2/18/2018,2/24/2018,6,51.8
The Sympathizer,"Nguyen, Viet Thanh",,,,Corsair,2015,Fiction,Spy,English,384,7/3/2017,7/13/2017,10,38.4
The Art of Fiction,"Lodge, David",,,,Penguin Random House,1992,Non-fiction,Art,English,256,12/28/2016,1/2/2017,5,51.2
Grinding It Out,"Kroc, Ray",,,,St. Martin's Press,1977,Non-fiction,Biography,English,256,1/13/2016,1/14/2016,1,256.0
Steppenwolf,"Hesse, Hermann",,,,Penguin,1927,Fiction,Drama,English,272,2/24/2017,3/8/2017,12,22.7
Chernobyl Prayer,"Aleksievich, Svetlana",,,,Penguin Classics,1997,Non-fiction,History,English,293,3/11/2017,3/17/2017,6,48.8
The Anatomy of Violence,"Raine, Adrian",,,,Penguin Books,2013,Non-fiction,Science,English,496,10/2/2016,10/6/2016,4,124.0
Lolita,"Nabokov, Vladimir",,,,Penguin,1955,Fiction,Drama,English,331,3/29/2017,4/2/2017,4,82.8
